handle,party_id,ideological_lean,party_id_label,ideological_lean_label,total_posts,n_days_observed
tw_user_7101,0.0,0.0,Independent,4 Middle of the road,178,737
tw_user_6760,-2.0,0.0,Not very strong Democrat,4 Middle of the road,13053,737
tw_user_4842,-1.0,-2.0,Closer to the Democratic party,2 Liberal,2740,737
tw_user_6533,-3.0,-2.0,Strong Democrat,2 Liberal,133,737
tw_user_7680,-3.0,-3.0,Strong Democrat,1 Very liberal,756,737
tw_user_6226,-3.0,-3.0,Strong Democrat,1 Very liberal,620,737
tw_user_4527,3.0,3.0,Strong Republican,7 Very conservative,1819,737
tw_user_1142,0.0,0.0,Independent,4 Middle of the road,1473,737
tw_user_9513,2.0,1.0,Not very strong Republican,5 Somewhat conservative,396,737
tw_user_8512,1.0,0.0,Closer to the Republican party,4 Middle of the road,2799,737
tw_user_5862,-1.0,-2.0,Closer to the Democratic party,2 Liberal,2191,737
tw_user_7668,3.0,3.0,Strong Republican,7 Very conservative,112,737
tw_user_7085,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,79,737
tw_user_8933,-3.0,-3.0,Strong Democrat,1 Very liberal,184,737
tw_user_6088,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,28,737
tw_user_8631,0.0,0.0,Independent,4 Middle of the road,53,737
tw_user_9725,-2.0,0.0,Not very strong Democrat,4 Middle of the road,9,737
tw_user_1220,2.0,1.0,Not very strong Republican,5 Somewhat conservative,59,737
tw_user_3360,-3.0,-3.0,Strong Democrat,1 Very liberal,435,737
tw_user_7580,-3.0,-3.0,Strong Democrat,1 Very liberal,1289,737
tw_user_5805,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,1319,737
tw_user_4796,,0.0,No party,4 Middle of the road,94,737
tw_user_6861,-2.0,1.0,Not very strong Democrat,5 Somewhat conservative,205,737
tw_user_8003,0.0,0.0,Independent,4 Middle of the road,324,737
tw_user_3238,-3.0,-3.0,Strong Democrat,1 Very liberal,388,737
tw_user_2524,3.0,3.0,Strong Republican,7 Very conservative,989,737
tw_user_8757,-3.0,-3.0,Strong Democrat,1 Very liberal,1057,737
tw_user_7918,-2.0,2.0,Not very strong Democrat,6 Conservative,55,737
tw_user_2459,-3.0,0.0,Strong Democrat,4 Middle of the road,158,737
tw_user_9316,0.0,0.0,Independent,4 Middle of the road,1624,737
tw_user_5574,2.0,0.0,Not very strong Republican,4 Middle of the road,2063,737
tw_user_7975,-3.0,-3.0,Strong Democrat,1 Very liberal,197,737
tw_user_6311,-3.0,-3.0,Strong Democrat,1 Very liberal,761,737
tw_user_4900,-2.0,-2.0,Not very strong Democrat,2 Liberal,4520,737
tw_user_7819,0.0,-3.0,Independent,1 Very liberal,12950,737
tw_user_8823,-3.0,2.0,Strong Democrat,6 Conservative,726,737
tw_user_4838,,1.0,No party,5 Somewhat conservative,827,737
tw_user_9916,0.0,0.0,Independent,4 Middle of the road,715,737
tw_user_5431,1.0,0.0,Closer to the Republican party,4 Middle of the road,32,737
tw_user_7338,-3.0,-3.0,Strong Democrat,1 Very liberal,1207,737
tw_user_9033,-3.0,-2.0,Strong Democrat,2 Liberal,33,737
tw_user_6830,-3.0,-2.0,Strong Democrat,2 Liberal,2933,737
tw_user_2435,-2.0,0.0,Not very strong Democrat,4 Middle of the road,584,737
tw_user_8834,-3.0,2.0,Strong Democrat,6 Conservative,336,737
tw_user_2771,-3.0,-2.0,Strong Democrat,2 Liberal,41,737
tw_user_7192,1.0,0.0,Closer to the Republican party,4 Middle of the road,4413,737
tw_user_4461,0.0,0.0,Independent,4 Middle of the road,129,737
tw_user_9063,-3.0,0.0,Strong Democrat,4 Middle of the road,24365,737
tw_user_3150,-3.0,-2.0,Strong Democrat,2 Liberal,3260,737
tw_user_9881,3.0,0.0,Strong Republican,4 Middle of the road,55,737
