handle,party_id,ideological_lean,party_id_label,ideological_lean_label,total_posts,n_days_observed
tw_user_7410,-3.0,-2.0,Strong Democrat,2 Liberal,14991,737
tw_user_1309,0.0,0.0,Independent,4 Middle of the road,6678,737
tw_user_2319,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,955,737
tw_user_1284,2.0,-2.0,Not very strong Republican,2 Liberal,310,737
tw_user_8607,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,24634,737
tw_user_6980,-3.0,-2.0,Strong Democrat,2 Liberal,466,737
tw_user_9891,0.0,0.0,Independent,4 Middle of the road,2515,737
tw_user_9767,-1.0,-2.0,Closer to the Democratic party,2 Liberal,302,737
tw_user_8111,-2.0,-2.0,Not very strong Democrat,2 Liberal,205,737
tw_user_7587,-3.0,-2.0,Strong Democrat,2 Liberal,24,737
tw_user_8149,-3.0,-3.0,Strong Democrat,1 Very liberal,6572,737
tw_user_5769,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,533,737
tw_user_8529,-1.0,-2.0,Closer to the Democratic party,2 Liberal,416,737
tw_user_9825,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,337,737
tw_user_5204,-3.0,0.0,Strong Democrat,4 Middle of the road,36,737
tw_user_5483,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,72,737
tw_user_9803,-2.0,-2.0,Not very strong Democrat,2 Liberal,5574,737
tw_user_1140,0.0,0.0,Independent,4 Middle of the road,5483,737
tw_user_2086,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,65,737
tw_user_2512,1.0,0.0,Closer to the Republican party,4 Middle of the road,470,737
tw_user_3344,3.0,3.0,Strong Republican,7 Very conservative,454,737
tw_user_1993,3.0,-3.0,Strong Republican,1 Very liberal,181,737
tw_user_7143,0.0,-3.0,Independent,1 Very liberal,820,737
tw_user_4870,,-2.0,No party,2 Liberal,2624,737
tw_user_1117,,2.0,No party,6 Conservative,102,737
tw_user_7267,0.0,0.0,Independent,4 Middle of the road,577,737
tw_user_8306,-3.0,-2.0,Strong Democrat,2 Liberal,12409,737
tw_user_2558,0.0,0.0,Independent,4 Middle of the road,703,737
tw_user_3188,-3.0,-3.0,Strong Democrat,1 Very liberal,9166,737
tw_user_2714,2.0,0.0,Not very strong Republican,4 Middle of the road,18,737
tw_user_5166,0.0,0.0,Independent,4 Middle of the road,1991,737
tw_user_2191,3.0,0.0,Strong Republican,4 Middle of the road,274,737
tw_user_2717,1.0,2.0,Closer to the Republican party,6 Conservative,188,737
tw_user_8232,-3.0,0.0,Strong Democrat,4 Middle of the road,4063,737
tw_user_4740,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,1845,737
tw_user_8814,,-3.0,Other party,1 Very liberal,3569,737
tw_user_4968,-2.0,-3.0,Not very strong Democrat,1 Very liberal,90,737
tw_user_7121,3.0,-2.0,Strong Republican,2 Liberal,52,737
tw_user_6476,-3.0,-3.0,Strong Democrat,1 Very liberal,380,737
tw_user_7813,-3.0,-3.0,Strong Democrat,1 Very liberal,387,737
tw_user_6352,-3.0,-2.0,Strong Democrat,2 Liberal,1241,737
tw_user_8415,1.0,0.0,Closer to the Republican party,4 Middle of the road,463,737
tw_user_9750,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,14,737
tw_user_7911,-1.0,-2.0,Closer to the Democratic party,2 Liberal,3539,737
tw_user_7861,3.0,-2.0,Strong Republican,2 Liberal,1705,737
tw_user_6718,0.0,2.0,Independent,6 Conservative,350,737
tw_user_8932,3.0,-3.0,Strong Republican,1 Very liberal,1151,737
tw_user_2007,-2.0,-2.0,Not very strong Democrat,2 Liberal,43,737
tw_user_6657,-2.0,-3.0,Not very strong Democrat,1 Very liberal,1496,737
tw_user_8592,-3.0,-2.0,Strong Democrat,2 Liberal,2776,737
tw_user_3121,0.0,1.0,Independent,5 Somewhat conservative,320,737
tw_user_1614,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,769,737
tw_user_1631,2.0,1.0,Not very strong Republican,5 Somewhat conservative,716,737
tw_user_7939,-2.0,0.0,Not very strong Democrat,4 Middle of the road,1002,737
tw_user_5197,3.0,3.0,Strong Republican,7 Very conservative,1388,737
tw_user_5605,-3.0,-2.0,Strong Democrat,2 Liberal,2923,737
tw_user_4117,3.0,-1.0,Strong Republican,3 Somewhat liberal,262,737
tw_user_8352,-2.0,0.0,Not very strong Democrat,4 Middle of the road,399,737
tw_user_9861,0.0,0.0,Independent,4 Middle of the road,2631,737
tw_user_3215,-1.0,-2.0,Closer to the Democratic party,2 Liberal,498,737
tw_user_8122,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,260,737
tw_user_1441,,0.0,Other party,4 Middle of the road,120,737
tw_user_1787,,0.0,No party,4 Middle of the road,25,737
tw_user_4251,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,437,737
tw_user_5840,-3.0,-2.0,Strong Democrat,2 Liberal,208,737
tw_user_4784,-3.0,-3.0,Strong Democrat,1 Very liberal,2144,737
tw_user_2946,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,452,737
tw_user_8307,-3.0,0.0,Strong Democrat,4 Middle of the road,847,737
tw_user_3414,-1.0,-2.0,Closer to the Democratic party,2 Liberal,130,737
tw_user_2053,,-3.0,No party,1 Very liberal,1305,737
tw_user_4543,0.0,1.0,Independent,5 Somewhat conservative,218,737
tw_user_3363,,0.0,No party,4 Middle of the road,679,737
tw_user_1852,-3.0,-3.0,Strong Democrat,1 Very liberal,90,737
tw_user_9492,0.0,0.0,Independent,4 Middle of the road,1375,737
tw_user_5637,0.0,-2.0,Independent,2 Liberal,15,737
tw_user_2953,-3.0,-3.0,Strong Democrat,1 Very liberal,3192,737
tw_user_9727,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,49,737
tw_user_9427,-3.0,-3.0,Strong Democrat,1 Very liberal,1469,737
tw_user_2939,-3.0,-3.0,Strong Democrat,1 Very liberal,612,737
tw_user_7977,-3.0,-2.0,Strong Democrat,2 Liberal,880,737
tw_user_2691,,-3.0,Other party,1 Very liberal,59,737
tw_user_6359,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,4546,737
tw_user_9701,1.0,0.0,Closer to the Republican party,4 Middle of the road,7,737
tw_user_4580,3.0,2.0,Strong Republican,6 Conservative,385,737
tw_user_6233,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,1945,737
tw_user_2919,3.0,3.0,Strong Republican,7 Very conservative,9312,737
tw_user_6119,-3.0,-3.0,Strong Democrat,1 Very liberal,977,737
tw_user_3595,-2.0,-3.0,Not very strong Democrat,1 Very liberal,3006,737
tw_user_7724,-3.0,0.0,Strong Democrat,4 Middle of the road,184,737
tw_user_6529,0.0,-3.0,Independent,1 Very liberal,569,737
tw_user_6045,0.0,0.0,Independent,4 Middle of the road,291,737
tw_user_6432,-3.0,0.0,Strong Democrat,4 Middle of the road,8645,737
tw_user_2789,-1.0,-2.0,Closer to the Democratic party,2 Liberal,4425,737
tw_user_1132,,-3.0,No party,1 Very liberal,538,737
tw_user_2507,-3.0,-3.0,Strong Democrat,1 Very liberal,68,737
tw_user_7790,-3.0,-3.0,Strong Democrat,1 Very liberal,120,737
tw_user_9061,-3.0,-3.0,Strong Democrat,1 Very liberal,609,737
tw_user_4961,-3.0,-3.0,Strong Democrat,1 Very liberal,1306,737
tw_user_4111,-1.0,-2.0,Closer to the Democratic party,2 Liberal,1973,737
